ticker,cik,form_type,filing_date,period_of_report,accession_number,primary_document,source_url,filepath,download_timestamp,status
NVDA,0001045810,10-K,2022-03-18,2022-01-30,0001045810-22-000036,nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,data_cache/10k_filings/NVDA_000104581022000036.txt,2026-05-22T08:04:10.375860Z,ok
AMD,0000002488,10-K,2022-02-03,2021-12-25,0000002488-22-000016,amd-20211225.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,data_cache/10k_filings/AMD_000000248822000016.txt,2026-05-22T08:04:10.764947Z,ok
AVGO,0001730168,10-K,2021-12-17,2021-10-31,0001730168-21-000153,avgo-20211031.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,data_cache/10k_filings/AVGO_000173016821000153.txt,2026-05-22T08:04:11.143933Z,ok
TSM,0001046179,20-F,2022-04-14,2021-12-31,0001193125-22-104891,d204786d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/d204786d20f.htm,data_cache/10k_filings/TSM_000119312522104891.txt,2026-05-22T08:04:11.833559Z,ok
ASML,0000937966,20-F,2022-02-09,2021-12-31,0000937966-22-000013,asml-20211231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/asml-20211231.htm,data_cache/10k_filings/ASML_000093796622000013.txt,2026-05-22T08:04:12.358245Z,ok
AMAT,0000006951,10-K,2021-12-17,2021-10-31,0000006951-21-000043,amat-20211031.htm,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/amat-20211031.htm,data_cache/10k_filings/AMAT_000000695121000043.txt,2026-05-22T08:04:12.806255Z,ok
LRCX,0000707549,10-K,2022-08-24,2022-06-26,0000707549-22-000107,lrcx-20220626.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754922000107/lrcx-20220626.htm,data_cache/10k_filings/LRCX_000070754922000107.txt,2026-05-22T08:04:13.147494Z,ok
KLAC,0000319201,10-K,2022-08-05,2022-06-30,0000319201-22-000023,klac-20220630.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920122000023/klac-20220630.htm,data_cache/10k_filings/KLAC_000031920122000023.txt,2026-05-22T08:04:13.498140Z,ok
MU,0000723125,10-K,2022-10-07,2022-09-01,0000723125-22-000048,mu-20220901.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312522000048/mu-20220901.htm,data_cache/10k_filings/MU_000072312522000048.txt,2026-05-22T08:04:13.966663Z,ok
MRVL,0001835632,10-K,2022-03-10,2022-01-29,0001835632-22-000016,mrvl-20220129.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/mrvl-20220129.htm,data_cache/10k_filings/MRVL_000183563222000016.txt,2026-05-22T08:04:14.403340Z,ok
SMCI,0001375365,10-K,2022-08-29,2022-06-30,0001375365-22-000103,smci-20220630.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/smci-20220630.htm,data_cache/10k_filings/SMCI_000137536522000103.txt,2026-05-22T08:04:14.790728Z,ok
MSFT,0000789019,10-K,2022-07-28,2022-06-30,0001564590-22-026876,msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,data_cache/10k_filings/MSFT_000156459022026876.txt,2026-05-22T08:04:15.141776Z,ok
GOOGL,0001652044,10-K,2022-02-02,2021-12-31,0001652044-22-000019,goog-20211231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,data_cache/10k_filings/GOOGL_000165204422000019.txt,2026-05-22T08:04:15.933944Z,ok
AMZN,0001018724,10-K,2022-02-04,2021-12-31,0001018724-22-000005,amzn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,data_cache/10k_filings/AMZN_000101872422000005.txt,2026-05-22T08:04:16.332045Z,ok
META,0001326801,10-K,2022-02-03,2021-12-31,0001326801-22-000018,fb-20211231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,data_cache/10k_filings/META_000132680122000018.txt,2026-05-22T08:04:17.688778Z,ok
