n,r2,alpha_daily,alpha_annual,alpha_se_hac,alpha_p_hac,MKT_RF_coef,MKT_RF_se_hac,MKT_RF_p_hac,ticker,group,unit,model,SMB_coef,SMB_se_hac,SMB_p_hac,HML_coef,HML_se_hac,HML_p_hac,MOM_coef,MOM_se_hac,MOM_p_hac
1315,0.502102459016925,0.0010566774160859795,0.26628270885366684,0.0006101516586312309,0.083304281876309,2.0623688832286744,0.06856930979503596,9.645890418381784e-199,NVDA,AI_infra,stock,CAPM,,,,,,,,,
1315,0.589372714042232,0.0014288622169452705,0.36007327867020816,0.0005568297986020172,0.0102859146413245,1.8484003431108376,0.0668914426070181,4.487736414775842e-168,NVDA,AI_infra,stock,FF3,-0.37928551377481823,0.08444863532131854,7.078441090731593e-06,-1.0305170778511872,0.07904161649314644,7.472308213472899e-39,,,
1315,0.6067275239735082,0.0013586739308453979,0.3423858305730403,0.0005462088590407669,0.012865809825441839,1.8613951075624748,0.06432004829415358,3.7956430843443683e-184,NVDA,AI_infra,stock,Carhart4,-0.2703786355968955,0.08146061887725199,0.0009029738215860211,-1.0578051901545398,0.07548831254803964,1.3010762374827874e-44,0.40185215288908743,0.07360679625121819,4.7762902303792725e-08
1315,0.43600172082071686,-0.0002801928344707922,-0.07060859428663963,0.000695088901783843,0.6868720167649129,1.9776313481214622,0.060732333664133255,1.3675276778061444e-232,AMD,AI_infra,stock,CAPM,,,,,,,,,
1315,0.47486955115995466,6.263919634762504e-05,0.01578507747960151,0.0006802448783706399,0.9266318530765997,1.7585573639411756,0.06430836896816144,1.2148469435279401e-164,AMD,AI_infra,stock,FF3,0.012758547255997775,0.09487248894878075,0.8930222338305908,-0.7414799576784603,0.07931204026544532,8.856793905883795e-21,,,
1315,0.48146910455763936,1.809993164247873e-05,0.00456118277390464,0.0006825097306374962,0.9788428461104327,1.766803430141852,0.06712527580366229,1.103174196304016e-152,AMD,AI_infra,stock,Carhart4,0.08186740494298084,0.09487592299769854,0.38819841443589287,-0.7587961300017355,0.07657842106276197,3.8140271044779903e-23,0.2550026564883172,0.08135109193058752,0.0017209202275342856
1315,0.43151862359722004,0.0008689028322398171,0.2189635137244339,0.0005547880860922852,0.11730444697035217,1.5600918112006736,0.053814135324530006,8.701203835005137e-185,AVGO,AI_infra,stock,CAPM,,,,,,,,,
1315,0.46496585907840104,0.001052874682954081,0.2653244201044284,0.0005371327325154645,0.04997522440191737,1.4552304827197606,0.05207055936446683,7.113748649652935e-172,AVGO,AI_infra,stock,FF3,-0.2023727531870878,0.07204787880796652,0.004971651512780344,-0.5179304534866132,0.06942157094714602,8.609281506834488e-14,,,
1315,0.5093883811327182,0.0009612449280917547,0.24223372187912218,0.0005220695862346582,0.06558933557942596,1.4721949528238556,0.05140469939760011,2.1783878499663518e-180,AVGO,AI_infra,stock,Carhart4,-0.0601964570444554,0.07522986682503711,0.42361404513727796,-0.5535546748482475,0.05993264482775565,2.552165975370795e-20,0.524611958864277,0.06043947581363374,3.95923795870768e-18
1315,0.4036160160486387,0.0002642854215548027,0.06659992623181028,0.00046831199456020357,0.5725253348613724,1.3517408599768301,0.050630545657640275,4.948179564561516e-157,TSM,AI_infra,stock,CAPM,,,,,,,,,
1315,0.42325334415619753,0.0004537377159391901,0.11434190441667591,0.0004633782974872271,0.3274836344823838,1.2266538934480233,0.048937015391917936,1.169247513942758e-138,TSM,AI_infra,stock,FF3,0.07335624000666563,0.07955433907060566,0.3564817670755376,-0.371707644122441,0.07457138718862219,6.209397033975427e-07,,,
1315,0.44635285447771444,0.00039454133363044596,0.09942441607487239,0.00046191843963545154,0.3930294408931152,1.2376136003626113,0.04862752528521494,6.901857083403173e-143,TSM,AI_infra,stock,Carhart4,0.16520765218538822,0.07894178306120274,0.03636894794512892,-0.3947222754541709,0.07115009294639463,2.8938441036289038e-08,0.338919711477002,0.05897655299492635,9.100969136194563e-09
1315,0.5026148792063683,1.8098222497679842e-06,0.000456075206941532,0.0005297725752946553,0.9972742522179263,1.6906654819874931,0.06101035596507534,5.128364855351748e-169,ASML,AI_infra,stock,CAPM,,,,,,,,,
1315,0.5293259751314282,0.00021455900660512093,0.054068869664490475,0.0005181726064806245,0.6788238667199533,1.5576023965760373,0.06668664599451589,1.1689777184199856e-120,ASML,AI_infra,stock,FF3,-0.03963540314614006,0.08915625109561623,0.6566369476331843,-0.4874180465492855,0.07118718015906858,7.541898189779805e-12,,,
1315,0.5359610857414296,0.00017900008084855058,0.04510802037383475,0.0005213879313053089,0.7313618102204169,1.5641858293685338,0.06639755490071977,1.0422794550196181e-122,ASML,AI_infra,stock,Carhart4,0.015539210891174972,0.09128218504025522,0.8648271527701246,-0.5012428029772926,0.06643835893462358,4.540992377168024e-14,0.20358711778972194,0.05892302408156003,0.0005500133676140595
1315,0.49192448466481653,0.00027410921980268845,0.06907552339027749,0.0005427683512465687,0.6135443396739455,1.7675836237415126,0.05415589007185385,1.155170357543986e-233,AMAT,AI_infra,stock,CAPM,,,,,,,,,
1315,0.5062775424371511,0.00048094993696634825,0.12119938411551975,0.0005379341780930411,0.3712853082552402,1.6265589393908282,0.05435740196573525,9.761259071342969e-197,AMAT,AI_infra,stock,FF3,0.15351783115988668,0.0930482079042463,0.09896868270222606,-0.363695922184075,0.07201510066339867,4.4117897965665386e-07,,,
1315,0.5192415511518758,0.00042842265360452003,0.10796250870833905,0.0005362359826558643,0.4243227406474188,1.6362839193340606,0.05391768377597933,2.684883332545656e-202,AMAT,AI_infra,stock,Carhart4,0.2350212096860687,0.09725130579151192,0.0156645833350882,-0.3841177117306604,0.06629368956127159,6.8654920167229775e-09,0.3007368191655683,0.06659316611788084,6.300937029535847e-06
1315,0.4975110852165676,0.0003466837344066217,0.08736430107046866,0.000563915278877451,0.5387001370789741,1.854398737444286,0.054216153236209985,2.1226422308756264e-256,LRCX,AI_infra,stock,CAPM,,,,,,,,,
1315,0.5111581082198077,0.000545685429373637,0.13751272820215651,0.0005565671488603466,0.3268647764263346,1.7219992639071047,0.05633356447990441,3.2694084288419225e-205,LRCX,AI_infra,stock,FF3,0.09365195204539245,0.0926583741373162,0.31214901445530374,-0.3809208754666582,0.07720433325126574,8.059080096811496e-07,,,
1315,0.5259233420346241,0.00048720555380994847,0.12277579956010702,0.0005575668881173577,0.3822236568496348,1.7328263156893604,0.05673810896490835,7.495364652416525e-205,LRCX,AI_infra,stock,Carhart4,0.18439160445422126,0.0967147576944697,0.05657877362812881,-0.4036569401370094,0.06988174705720342,7.636763355022658e-09,0.33481746316631905,0.07139100886979487,2.7332418067951884e-06
1315,0.49863435892171093,0.0005674977006944806,0.1430094205750091,0.0005315372169911021,0.2856767301971904,1.7431024293429236,0.05090601839790528,5.820777661190009e-257,KLAC,AI_infra,stock,CAPM,,,,,,,,,
1315,0.5150281749815979,0.0007620066421735572,0.19202567382773642,0.0005233362868686792,0.14537729714642128,1.6162016114038917,0.05120319095152447,1.1352193984048216e-218,KLAC,AI_infra,stock,FF3,0.050192234230322895,0.07780082569212173,0.5188380505569874,-0.3960419675794792,0.06667077163382208,2.84563884665829e-09,,,
1315,0.5349529640544806,0.0006982224282557128,0.1759520519204396,0.0005206728863279017,0.17992039791848724,1.6280107163365312,0.04943725731323906,7.955120227926257e-238,KLAC,AI_infra,stock,Carhart4,0.1491623046056466,0.08074027332248773,0.06468430389770312,-0.42084027637555355,0.05874043384946056,7.812494382779643e-13,0.36518663024141934,0.05545401269931367,4.5367474007908044e-11
1315,0.37334521468922066,0.0003852933924374537,0.09709393489423834,0.0007245371492978081,0.5948793063559865,1.732213788697721,0.07203359307722981,8.907690000345963e-128,MU,AI_infra,stock,CAPM,,,,,,,,,
1315,0.376374257751092,0.0004974107423496658,0.12534750707211578,0.0007274868378278992,0.49414032225785487,1.6533655354556567,0.08499463958899767,2.7709773922425533e-84,MU,AI_infra,stock,FF3,0.12285782622645193,0.09772510262875429,0.20868927240235513,-0.17439542110954265,0.07701990897636192,0.0235562751193013,,,
1315,0.38833843440595506,0.00044064685379628,0.11104300715666256,0.0007274840746676407,0.5447050829229609,1.6638748868317645,0.08635234891049795,9.887532828009157e-83,MU,AI_infra,stock,Carhart4,0.21093488636142635,0.09660947533840086,0.029008073582980663,-0.1964643367604512,0.07326642534427945,0.0073291667077596346,0.32499284551667673,0.06859718897235784,2.1615836871758203e-06
1315,0.44951864164404465,-0.00037398100565030185,-0.09424321342387607,0.0006908156269480396,0.5882584168081868,2.2047377092206926,0.07320644800765287,2.927679184666625e-199,MRVL,AI_infra,stock,CAPM,,,,,,,,,
1315,0.47466173524520827,-2.1849745224818812e-05,-0.00550613579665434,0.0006768175020623216,0.9742463122023202,1.9662923104443966,0.06941558707500502,1.63597962430947e-176,MRVL,AI_infra,stock,FF3,0.23435232306678422,0.09795649247116914,0.016738025132610565,-0.6346567838508482,0.08380557616678375,3.6479764107147415e-14,,,
1315,0.4801676134599526,-6.651614111149477e-05,-0.016762067560096683,0.0006754583979327913,0.9215546813007295,1.974561913902497,0.07092492227545649,1.4167529154126417e-170,MRVL,AI_infra,stock,Carhart4,0.30365844244608564,0.10497209257584396,0.003818802463027422,-0.6520223827971542,0.08214004241192276,2.0557369897032644e-15,0.25573052636271726,0.0881679356312988,0.0037257553629492742
1315,0.15680584596565916,0.0006866556185404231,0.17303721587218662,0.0013464570473720916,0.610070961114821,1.8389305833577503,0.12795870471314486,7.836745372057137e-47,SMCI,AI_infra,stock,CAPM,,,,,,,,,
1315,0.163088701028125,0.0009544011395090402,0.24050908715627814,0.0013413951494985355,0.4767751478458241,1.6465473850908972,0.14528528044216418,8.985884682978625e-30,SMCI,AI_infra,stock,FF3,0.3607296464508621,0.20435689614844027,0.07753110129641821,-0.37783886760307545,0.19867551580149706,0.057198773181246367,,,
1315,0.1757534318641658,0.0008587331325785048,0.2164007494097832,0.0013402744890927587,0.5217082723977583,1.6642595032334104,0.14323458480614043,3.295215466935108e-31,SMCI,AI_infra,stock,Carhart4,0.5091718517712223,0.21129580934484926,0.015963087427248498,-0.41503309846443215,0.20458346559258175,0.04249153520100735,0.5477323451521278,0.15052575115454483,0.0002739167712180855
1315,0.528742562917133,-0.00010338238680344836,-0.026052361474468985,0.0003116892569395139,0.7401277689210735,1.079750884778232,0.03650793664395478,3.061550729636097e-192,MSFT,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.6324800280959791,8.79400441593898e-06,0.002216089112816623,0.00026205070356882126,0.9732292892138255,1.0343969997269455,0.043400031906412354,1.4834192947667952e-125,MSFT,AI_platforms,stock,FF3,-0.4295898761077167,0.04312957571084175,2.2703837005620083e-23,-0.4914781488582166,0.03574887534361409,5.230414227844314e-43,,,
1315,0.6324831302148072,8.3152473671952e-06,0.0020954423365331905,0.00026203005814430096,0.9746842245786583,1.0344856375242493,0.04331500014581375,4.6171132885651295e-126,MSFT,AI_platforms,stock,Carhart4,-0.42884701802599867,0.04350984772331466,6.436477694391077e-23,-0.4916642821410592,0.035380287031108695,6.645954779063803e-44,0.0027410492746092197,0.030058020070031756,0.9273400762606422
1315,0.4630222083103597,0.0003378365198858261,0.08513480301122818,0.0004014779955087352,0.40007794625654114,1.1940766410985895,0.043839162689145575,2.326358697262243e-163,GOOGL,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.5083258344419832,0.0004489997178804706,0.1131479289058786,0.00038671924899646667,0.24562226700280154,1.1406920176070947,0.050054529748019265,5.89639396615397e-115,GOOGL,AI_platforms,stock,FF3,-0.2866523103329271,0.06106022188338577,2.6715046846437296e-06,-0.40725813346459416,0.043051973349168694,3.088704169057291e-21,,,
1315,0.5085709119995923,0.0004540285553195769,0.11441519594053337,0.0003859903557679655,0.23948733156224333,1.1397609711088836,0.050363167342286005,2.154422695130525e-113,GOOGL,AI_platforms,stock,Carhart4,-0.2944552503505031,0.060400376341274105,1.0877728928509068e-06,-0.4053029998030816,0.04268952631259534,2.21903763442385e-21,-0.028791829289279904,0.04082198801289987,0.48062232371989655
1315,0.5173551085002301,-0.00046885301121338523,-0.11815095882577308,0.00042860107054074623,0.2739923912621255,1.4281797020845401,0.0510647737208847,3.9826068322725124e-172,AMZN,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.5657821503026138,-0.0002837180834231104,-0.07149695702262382,0.0004018807250591916,0.48020316068168023,1.3226423522404702,0.05825473359567261,4.0476349169369994e-114,AMZN,AI_platforms,stock,FF3,-0.20343659864844227,0.06373906130821347,0.001414332620581104,-0.5210811555615253,0.04447827557423422,1.0627808309745746e-31,,,
1315,0.5756980230106954,-0.000247523924370934,-0.06237602894147537,0.0003956803622202591,0.5316000719066389,1.3159413114037901,0.05874169631125711,3.748899830344532e-111,AMZN,AI_platforms,stock,Carhart4,-0.2595968654067726,0.06541339910477326,7.23088727226264e-05,-0.5070094303231633,0.042348417627163085,4.96126160600793e-33,-0.20722404756465804,0.04309635674957738,1.5215147655577867e-06
1315,0.3823303455607565,-0.00013387114950081633,-0.03373552967420571,0.0006451428616123235,0.8356145440922462,1.5370226465543722,0.06611961777078297,1.5581263529385918e-119,META,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.4276612866121854,8.153329966566666e-05,0.020546391515748,0.000608939202004733,0.89348640246448,1.4162184191472025,0.06668523890983931,4.3146799699655727e-100,META,AI_platforms,stock,FF3,-0.2694587745626018,0.09654881273360269,0.005256054307122047,-0.6250732795136834,0.07518074650803845,9.231612419615049e-17,,,
1315,0.43050984732066655,0.00010581942070091337,0.02666649401663017,0.0006067359669165352,0.86154506825461,1.4117220503107955,0.06727116121667734,8.889624160948145e-98,META,AI_platforms,stock,Carhart4,-0.3071420657782394,0.09333994580884927,0.0009998294541875598,-0.6156312139632206,0.071925332950473,1.1354513018989714e-17,-0.13904642164299988,0.07518555422552806,0.06440341927557394
1315,0.23299888809760372,0.0001577901332313721,0.03976311357430577,0.0005729915053832429,0.7830246666520401,1.0608452071162924,0.052516423154632084,9.73905315753357e-91,ORCL,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.24564921566054,0.00012483535092682103,0.0314585084335589,0.0005544025186617765,0.821846274915309,1.1036036016006059,0.05601314660789866,2.049002254966551e-86,ORCL,AI_platforms,stock,FF3,-0.3587374095255434,0.0986594196949044,0.000276776302942715,-0.13383857980614483,0.08080232072308761,0.09764681281148717,,,
1315,0.2543356432442554,8.733975765806842e-05,0.02200961892983324,0.0005535269181733849,0.8746240650904995,1.1105455919180325,0.054189962109131476,2.4571702859146464e-93,ORCL,AI_platforms,stock,Carhart4,-0.30055778675316014,0.10392039725255528,0.003825635476736973,-0.14841628239519322,0.08711164301837077,0.08842818757758046,0.21467520744797794,0.08153206135694975,0.0084630405115532
1315,0.37801214084333745,-0.0007238473185152105,-0.18240952426583304,0.00046671135748733013,0.1209129793280913,1.2556438337985814,0.05284320800290114,8.319428386171089e-125,CRM,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.41328804120840623,-0.0004887075813296485,-0.12315431049507142,0.000452912014160232,0.2805724539748168,1.1024530224603508,0.056194479039982384,1.074164863357799e-85,CRM,AI_platforms,stock,FF3,0.05708189501413078,0.07474712502442675,0.4450658523300911,-0.48083333058570504,0.05214370343476815,2.934883167537387e-20,,,
