ticker,mean_A_before,mean_B_after,diff_B_minus_A,window_sessions
NVDA,0.0037933727700192343,-0.003376630151425866,-0.007170002921445101,120
AMD,0.004530861140396195,-0.0025329332336614017,-0.007063794374057597,120
AVGO,0.0003944413641323997,0.001427533187453496,0.0010330918233210963,120
TSM,-0.001114675013235214,-0.0002858270320819154,0.0008288479811532985,120
ASML,-0.00024856787901333114,-0.0006727065849087263,-0.00042413870589539515,120
AMAT,-0.0009962205749158596,0.00013178630148864048,0.0011280068764045002,120
LRCX,-0.0012541229056268158,-0.0003934447957895964,0.0008606781098372194,120
KLAC,0.0005324754696412339,0.0008741146886503657,0.0003416392190091318,120
MU,-0.0007406269037441744,0.000378955960872225,0.0011195828646163994,120
MRVL,0.001670792951076055,-2.2945591559859167e-05,-0.0016937385426359143,120
SMCI,-0.00017238544918589624,0.002871853012787767,0.003044238461973663,120
MSFT,0.0014111950498559586,-0.0006985843236124973,-0.002109779373468456,120
GOOGL,0.00042013608709238397,-0.0005332433650492196,-0.0009533794521416035,120
AMZN,-0.0002464201284368944,-0.002892882483017911,-0.002646462354581017,120
META,-0.0009089176939861809,-0.0027872017385199882,-0.0018782840445338072,120
ORCL,0.0003443761584682288,-0.0014593538787994775,-0.0018037300372677062,120
CRM,0.0010250468613026797,-0.0036766227955128015,-0.004701669656815481,120
NOW,0.0019170804149303703,-0.0019256830859958325,-0.0038427635009262028,120
ADBE,0.0013353725317589275,-0.0027867608595003868,-0.004122133391259314,120
IBM,-0.0019274036607382194,0.001780683733933974,0.0037080873946721935,120
SNOW,0.001922471012844977,-0.005775233403939288,-0.007697704416784265,120
